         633662181 function calls (624021167 primitive calls) in 545.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   105954    0.598    0.000    0.598    0.000 {pandas._libs.algos.take_1d_int64_int64}
   388482    0.595    0.000    2.121    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:256(make_block_same_class)
   287433    0.591    0.000    6.175    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\fromnumeric.py:39(_wrapit)
   141264    0.591    0.000    6.869    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:369(apply)
    67700    0.591    0.000    6.098    0.000 ..\highway_env\vehicle\controller.py:170(speed_control)
   781890    0.589    0.000    0.589    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\functional.py:1686(<listcomp>)
   141264    0.587    0.000    0.587    0.000 {built-in method _operator.sub}
    70632    0.583    0.000   21.230    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:1672(isetter)
   105954    0.581    0.000   12.939    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:2960(get_indexer)
   565056    0.580    0.000    3.211    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:574(array)
   141264    0.576    0.000    6.799    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:3534(_get_item_cache)
   211896    0.570    0.000    3.886    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3184(_box_col_values)
   141264    0.555    0.000    0.555    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\roperator.py:8(radd)
   105966    0.549    0.000    0.992    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:525(_combine_concat_plans)
  1130112    0.549    0.000    0.696    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\array_ops.py:404(maybe_upcast_datetimelike_array)
   105954    0.546    0.000    9.352    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1836(_multi_blockify)
  1010127    0.540    0.000    0.799    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1733(pandas_dtype)
   593897    0.539    0.000   13.105    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
  1236090    0.538    0.000    0.538    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:135(_check_ndim)
   176598    0.536    0.000    2.565    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:132(__init__)
   123615    0.534    0.000    1.281    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_asarray.py:221(require)
   353160    0.534    0.000    0.539    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
   565056    0.528    0.000    1.047    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\arrays\numpy_.py:414(to_numpy)
    52977    0.527    0.000   20.565    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1436(take)
   565056    0.516    0.000    2.444    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:207(array_values)
   141264    0.508    0.000   14.718    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3028(__setitem__)
    52977    0.507    0.000   25.891    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:1208(_get_listlike_indexer)
  1271412    0.507    0.000    0.698    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\common.py:149(cast_scalar_indexer)
    70632    0.501    0.000    5.024    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:782(setitem)
    52977    0.493    0.000    0.861    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexers.py:210(maybe_convert_indices)
   141264    0.493    0.000    0.493    0.000 {built-in method _operator.truediv}
  4402840    0.492    0.000    0.492    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\multiarray.py:706(dot)
  1029153    0.491    0.000    2.760    0.000 {method 'any' of 'numpy.ndarray' objects}
    17661    0.489    0.000    3.104    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:351(_get_empty_dtype_and_na)
    88293    0.488    0.000    0.742    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:1646(is_unique)
    52977    0.488    0.000    1.210    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:1257(_validate_read_indexer)
    70632    0.482    0.000    0.625    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\numerictypes.py:545(_can_coerce_all)
   638092    0.481    0.000    1.346    0.000 <__array_function__ internals>:2(copyto)
   105960    0.477    0.000    2.003    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\range.py:86(__new__)
    70644    0.475    0.000    3.867    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\concat.py:29(get_dtype_kinds)
   900633    0.474    0.000    0.794    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:422(is_timedelta64_dtype)
   353160    0.471    0.000    1.929    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:2854(get_loc)
   565080    0.469    0.000    0.629    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:377(_get_axis)
   141288    0.468    0.000    4.050    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:204(is_na)
  3918750    0.455    0.000    0.455    0.000 {method 'append' of 'list' objects}
  1342104    0.451    0.000    0.597    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:567(__len__)
    35322    0.448    0.000   23.145    0.001 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\reshape\concat.py:456(get_result)
    35322    0.447    0.000   19.632    0.001 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:31(concatenate_block_managers)
   141264    0.446    0.000   13.420    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3109(_set_item)
   211896    0.439    0.000    1.414    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3722(reindexer)
   123621    0.438    0.000    1.535    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:324(_verify_integrity)
   500750    0.434    0.000   12.768    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\fromnumeric.py:2033(clip)
   565056    0.434    0.000    1.583    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\computation\expressions.py:195(_bool_arith_check)
   105954    0.429    0.000    5.032    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:1238(take_nd)
    70632    0.428    0.000   30.796    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:661(__setitem__)
  1001500    0.426    0.000    0.594    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_methods.py:82(_clip_dep_is_byte_swapped)
