         985027882 function calls (967092260 primitive calls) in 990.551 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1020926    0.423    0.000    8.510    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:163(blknos)
   747506    0.448    0.000    8.402    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:595(condition)
   280783    0.868    0.000    8.300    0.000 {built-in method builtins.sorted}
   408636    1.680    0.000    8.293    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3702(_sanitize_column)
   543520    1.029    0.000    8.225    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:1201(maybe_infer_to_datetimelike)
  2246834    4.186    0.000    8.152    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5143(__setattr__)
   408636    1.130    0.000    8.105    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3184(_box_col_values)
     2500    0.083    0.000    8.029    0.003 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\MaPPO.py:427(action)
   407640    0.370    0.000    7.954    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:598(is_excluded_dtype)
  6117920    4.179    0.000    7.896    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1600(_is_dtype_type)
   339866    0.852    0.000    7.889    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:5653(default_index)
  3264772    2.892    0.000    7.726    0.000 {pandas._libs.lib.is_list_like}
       25    0.002    0.000    7.717    0.309 ..\highway_env\envs\common\abstract.py:354(close)
       25    0.000    0.000    7.716    0.309 ..\highway_env\envs\common\graphics.py:155(close)
       25    7.716    0.309    7.716    0.309 {built-in method pygame.base.quit}
   135880    1.582    0.000    7.698    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:360(extract_index)
  1496340    3.526    0.000    7.644    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:4086(__getitem__)
   407972    1.318    0.000    7.508    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:132(__init__)
   136212    0.438    0.000    7.442    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:588(_get_setitem_indexer)
  1631888    2.847    0.000    7.213    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:212(shape)
   136212    0.574    0.000    7.211    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5560(copy)
  1630560    0.535    0.000    7.190    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:603(<genexpr>)
    68106    0.841    0.000    7.109    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1915(_merge_blocks)
   272424    0.994    0.000    7.101    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\array_ops.py:119(na_arithmetic_op)
      278    0.017    0.000    7.044    0.025 ..\highway_env\envs\common\abstract.py:169(reset)
        1    0.002    0.002    6.717    6.717 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\MaPPO.py:29(__init__)
  1972418    1.581    0.000    6.716    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
   203986    3.210    0.000    6.603    0.000 {pandas._libs.lib.clean_index_list}
   339866    1.532    0.000    6.536    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\range.py:86(__new__)
    22549    4.835    0.000    6.446    0.000 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\common\utils.py:46(to_tensor_var)
  1633216    2.307    0.000    6.233    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:237(mgr_locs)
    80012    0.158    0.000    6.212    0.000 ..\highway_env\vehicle\behavior.py:102(step)
37099776/37098275    6.101    0.000    6.108    0.000 {built-in method builtins.issubclass}
   951492    1.348    0.000    5.998    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1330(is_bool_dtype)
